NAME,HASHED VARIABLE NAME ,DESCRIPTION
self.pers,self.var_012C, Equivalent of self.pers
self.health, NONE,this is the players health.
self.maxhealth, NONE,this is the players max health.
self.allowCopycat, self.var_28D0, allows you to copycat when you die. 
self.postGamePromotion, self.var_75E5, promotes you when the game ends
self.team, self.var_596B,get / set your team with this variable
-,-,-
zombies mode,-,-
-,-,-
self.pers[ zombieKills ],self.var_012C[ zombieKills ], player zombie kills (zombieKills needs to be in quotes!
self.money, self.var_62D7, the player's money variable in zombies
